PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-16,17:09:33.43,1,1,"Kreiling, Harrison",1000098154,Right,UNO_MAV,"Schwabe, Cadyn",1000133734,Left,NOR_BIS,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.56053,-2.202401,-4.396184,2005.698295,224.185031,1:30,5.2788,2.74842,5.7701,-20.93729,10.98056,9.7739,1.4774,-0.53625,86.39357,-6.083805,-2.65286,0.40662,67.06794,-41.696826,84.278058,,,,,3.27294,3.27294,43.269197,0.023804,-6.12288,6.43674,-2.39049,50,5.08336,10.00139,-135.6024,-5.96692,-11.52074,26.72703,-20.06273,UNO_MAV,NOR_BIS,TalAndersonField,D1,SUM,20240316-TalAndersonField-2,dec65270-e3e1-11ee-b0e7-03e2d690c94d,92.69705,1.56143,,7.16697,,,,2.20842,1.56143,0.49939,385a92bf-adfd-4358-b838-1abbcb65f7bd,2024-03-16,22:09:33.43,2024-03-16T17:09:33.4390000-05:00,2024-03-16T22:09:33.4390000Z,GroundBall,v3,471375,471388,,"Dick, Cardel",1000197604,Right,UNO_MAV,5a61aa60-268d-4af3-a72e-761f14fe35aa,54.73088,-136.53166,13.36351,5.27869,-5.26936,-10.03137,-2.74519,10.40196,-5.76037,,2.20835,7.34111,,,,,,,,1.56206,-65.59589,,,,,,,,0.49868,73.26456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
2,2024-03-16,17:10:02.92,1,2,"Kreiling, Harrison",1000098154,Right,UNO_MAV,"Schwabe, Cadyn",1000133734,Left,NOR_BIS,Undefined,1,Top,0,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.76265,1.495814,-0.854831,2366.646957,73.663509,8:30,5.22408,2.91179,5.77052,-42.67455,-2.95685,-13.94906,3.06035,0.95381,77.31915,-6.322739,-3.352841,0.45359,,,,,,,,,,,,6.8717,-1.52036,-2.83272,50,5.32197,2.37899,-121.77453,1.69478,10.38153,22.54482,-34.47094,UNO_MAV,NOR_BIS,TalAndersonField,D1,SUM,20240316-TalAndersonField-2,f0687b70-e3e1-11ee-b0e7-03e2d690c94d,83.09805,,,6.4435,,,,,,,385a92bf-adfd-4358-b838-1abbcb65f7bd,2024-03-16,22:10:02.92,2024-03-16T17:10:02.9290000-05:00,2024-03-16T22:10:02.9290000Z,,v3,471375,471388,,"Dick, Cardel",1000197604,Right,UNO_MAV,e58d6703-7a57-4b8d-a5c2-c93cf9b42fb6,54.73058,-122.6472,11.27241,5.23054,3.02909,-17.23547,-2.91703,1.97714,5.19076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-16,17:10:19.26,1,3,"Kreiling, Harrison",1000098154,Right,UNO_MAV,"Schwabe, Cadyn",1000133734,Left,NOR_BIS,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.00325,-0.39217,-2.842803,2027.809587,206.711962,1:00,5.3447,2.74213,5.81324,-17.41513,15.19623,7.09989,3.52832,0.68823,84.39283,-3.697188,-1.572705,0.411013,,,,,,,,,,,,-4.43248,8.17678,-2.51321,50,5.30224,6.37313,-134.85224,-1.47432,-8.11839,30.79239,-17.19771,UNO_MAV,NOR_BIS,TalAndersonField,D1,SUM,20240316-TalAndersonField-2,fa1aa120-e3e1-11ee-b0e7-03e2d690c94d,91.70611,,,8.61042,,,,,,,385a92bf-adfd-4358-b838-1abbcb65f7bd,2024-03-16,22:10:19.26,2024-03-16T17:10:19.2650000-05:00,2024-03-16T22:10:19.2650000Z,,v3,471375,471388,,"Dick, Cardel",1000197604,Right,UNO_MAV,7cc36245-8160-442a-87b6-4a65c067ebc5,54.6829,-135.91733,15.39619,5.34295,-0.87946,-8.59886,-2.73851,6.65394,-4.05919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-16,17:10:38.01,1,4,"Kreiling, Harrison",1000098154,Right,UNO_MAV,"Schwabe, Cadyn",1000133734,Left,NOR_BIS,Undefined,1,Top,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.13451,0.763458,-3.576317,1756.35141,204.550972,12:45,5.24369,2.75431,6.06905,-17.763,14.30052,6.07532,4.47136,-0.0532,84.91241,-2.607082,-2.486032,0.407546,,,,,,,,,,,,-4.09284,7.44563,-2.48001,50,5.29334,8.17403,-135.0697,1.25866,-7.56639,29.22391,-18.40943,UNO_MAV,NOR_BIS,TalAndersonField,D1,SUM,20240316-TalAndersonField-2,0545f950-e3e2-11ee-b0e7-03e2d690c94d,92.48626,,,8.2221,,,,,,,385a92bf-adfd-4358-b838-1abbcb65f7bd,2024-03-16,22:10:38.01,2024-03-16T17:10:38.0180000-05:00,2024-03-16T22:10:38.0180000Z,,v3,471375,471388,,"Dick, Cardel",1000197604,Right,UNO_MAV,d1335bfe-532e-482f-9bce-99a25cd23623,54.42771,-136.02431,14.61196,5.2424,1.86001,-9.20471,-2.75105,8.42119,-3.7832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-16,17:10:58.02,1,5,"Kreiling, Harrison",1000098154,Right,UNO_MAV,"Schwabe, Cadyn",1000133734,Left,NOR_BIS,Undefined,1,Top,0,3,1,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,92.39425,0.777966,-2.638494,1670.411012,204.962401,12:45,5.22251,2.82971,6.0085,-22.82698,9.70323,4.05563,4.04181,0.72153,84.51295,-3.496463,-1.910336,0.410502,,,,,,,,,,,,-2.79642,5.08268,-2.62461,50,5.27113,6.00681,-134.15069,1.05584,-5.10865,28.34387,-22.88868,UNO_MAV,NOR_BIS,TalAndersonField,D1,SUM,20240316-TalAndersonField-2,11390e50-e3e2-11ee-b0e7-03e2d690c94d,91.82045,,,7.88131,,,,,,,385a92bf-adfd-4358-b838-1abbcb65f7bd,2024-03-16,22:10:58.02,2024-03-16T17:10:58.0250000-05:00,2024-03-16T22:10:58.0250000Z,,v3,471375,471388,,"Dick, Cardel",1000197604,Right,UNO_MAV,dd825380-39b3-4054-b504-9f708317e9bd,54.48966,-135.09595,14.17193,5.22319,1.81917,-11.44434,-2.82777,6.17718,-2.55432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-16,17:11:35.03,2,1,"Kreiling, Harrison",1000098154,Right,UNO_MAV,"Schaffner, Jake",1000092397,Left,NOR_BIS,Undefined,1,Top,0,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.87095,0.572439,-0.974963,2098.712299,75.195345,8:30,5.14437,2.77577,5.80684,-45.20156,-4.22355,-20.91836,1.91002,0.1258,75.94639,-7.710936,-4.72659,0.46073,,,,,,,,,,,,10.41335,-1.94827,-2.68319,50,5.16441,2.87337,-120.40786,-0.33994,15.17784,24.94683,-35.01371,UNO_MAV,NOR_BIS,TalAndersonField,D1,SUM,20240316-TalAndersonField-2,274fa870-e3e2-11ee-b0e7-03e2d690c94d,81.81022,,,6.92456,,,,,,,385a92bf-adfd-4358-b838-1abbcb65f7bd,2024-03-16,22:11:35.03,2024-03-16T17:11:35.0360000-05:00,2024-03-16T22:11:35.0360000Z,,v3,471375,471388,,"Dick, Cardel",1000197604,Right,UNO_MAV,c7304b16-7538-4251-8cd1-b89336a11a46,54.69461,-121.37662,12.47341,5.15121,1.01975,-17.50686,-2.78332,2.28397,7.58892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-16,17:12:16.02,2,2,"Kreiling, Harrison",1000098154,Right,UNO_MAV,"Schaffner, Jake",1000092397,Left,NOR_BIS,Undefined,1,Top,0,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.69183,-1.605229,-4.592188,1378.192287,252.380258,2:30,5.3696,2.67826,5.81938,-32.46321,5.31662,12.63587,1.16669,-0.54748,78.84977,-7.602397,-2.334115,0.442386,,,,,,,,,,,,-7.89894,3.55941,-2.30956,50,5.21855,9.56085,-125.4413,-4.6277,-12.47219,27.51865,-26.55388,UNO_MAV,NOR_BIS,TalAndersonField,D1,SUM,20240316-TalAndersonField-2,3fb366e0-e3e2-11ee-b0e7-03e2d690c94d,85.2026,,,7.84206,,,,,,,385a92bf-adfd-4358-b838-1abbcb65f7bd,2024-03-16,22:12:16.02,2024-03-16T17:12:16.0220000-05:00,2024-03-16T22:12:16.0220000Z,,v3,471375,471388,,"Dick, Cardel",1000197604,Right,UNO_MAV,024675cd-f09a-4924-9e70-29b96a2fcff2,54.67987,-126.46377,13.75933,5.37216,-3.64107,-13.27694,-2.67341,10.02426,-6.2361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-16,17:12:37.49,2,3,"Kreiling, Harrison",1000098154,Right,UNO_MAV,"Schaffner, Jake",1000092397,Left,NOR_BIS,Undefined,1,Top,0,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.56957,-0.223278,-3.798585,1988.693264,214.650241,1:15,5.20662,2.88491,5.95483,-19.25599,13.20284,8.44819,3.39443,0.06102,84.84728,-3.844679,-2.285708,0.410051,81.46536,26.177969,-70.719959,3175.394331,29.104,40.6186,-106.07983,,137.54509,,,-5.35894,7.14016,-2.58752,50,5.17802,8.55617,-134.30613,-1.14972,-9.83565,27.77335,-19.0692,UNO_MAV,NOR_BIS,TalAndersonField,D1,SUM,20240316-TalAndersonField-2,4c7c9090-e3e2-11ee-b0e7-03e2d690c94d,91.92132,42.08739,,7.7223,,,,1.67329,3.37327,0.09844,385a92bf-adfd-4358-b838-1abbcb65f7bd,2024-03-16,22:12:37.49,2024-03-16T17:12:37.4930000-05:00,2024-03-16T22:12:37.4930000Z,,v3,471375,471388,,"Dick, Cardel",1000197604,Right,UNO_MAV,28a07f74-dd9e-4ce3-810e-91eadfb4b0ca,54.54468,-135.24267,13.88667,5.20595,-0.50669,-9.5346,-2.88163,8.88783,-4.91782,,1.67329,35.40472,-14.28024,3.88435,-0.9705,0.22257,-0.04585,0.00678,-0.00047,3.37327,52.71093,-19.83591,1.5527,-0.23507,0.03246,-0.00461,0.0012,-0.00016,0.09844,-101.21309,15.04928,-3.02599,0.58882,-0.11086,0.02094,-0.00315,0.00024,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
9,2024-03-16,17:13:06.40,2,4,"Kreiling, Harrison",1000098154,Right,UNO_MAV,"Schaffner, Jake",1000092397,Left,NOR_BIS,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.35412,0.03953,-2.413744,1766.753567,203.870482,12:45,5.19324,2.7295,5.90239,-18.99647,12.99465,5.31457,3.64693,0.93038,85.35853,-3.537623,-1.461019,0.407086,,,,,,,,,,,,-3.37721,6.94433,-2.53846,50,5.18553,5.47945,-135.55401,-0.53196,-6.29691,29.05238,-19.22616,UNO_MAV,NOR_BIS,TalAndersonField,D1,SUM,20240316-TalAndersonField-2,5db76c40-e3e2-11ee-b0e7-03e2d690c94d,92.59085,,,7.9956,,,,,,,385a92bf-adfd-4358-b838-1abbcb65f7bd,2024-03-16,22:13:06.40,2024-03-16T17:13:06.4090000-05:00,2024-03-16T22:13:06.4090000Z,,v3,471375,471388,,"Dick, Cardel",1000197604,Right,UNO_MAV,5555e894-a33d-4c4b-99f0-f55a73ef87cc,54.59582,-136.53545,14.52619,5.19253,0.11754,-9.61308,-2.72716,5.69217,-3.14845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-16,17:13:25.57,2,5,"Kreiling, Harrison",1000098154,Right,UNO_MAV,"Schaffner, Jake",1000092397,Left,NOR_BIS,Undefined,1,Top,0,2,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.89434,1.649246,-0.247083,2108.113001,68.815958,8:15,5.07101,2.85755,5.82004,-43.05054,-3.94028,-13.48922,3.01726,1.50372,77.28211,-6.275889,-2.666489,0.450108,,,,,,,,,,,,6.77229,-2.07382,-2.82949,50,5.18077,1.09008,-123.25442,2.0308,10.33494,26.31907,-35.33886,UNO_MAV,NOR_BIS,TalAndersonField,D1,SUM,20240316-TalAndersonField-2,6931ced0-e3e2-11ee-b0e7-03e2d690c94d,83.74087,,,7.61224,,,,,,,385a92bf-adfd-4358-b838-1abbcb65f7bd,2024-03-16,22:13:25.57,2024-03-16T17:13:25.5750000-05:00,2024-03-16T22:13:25.5750000Z,,v3,471375,471388,,"Dick, Cardel",1000197604,Right,UNO_MAV,b92f699f-a1b5-4449-88cc-520f6ac3d4f9,54.679,-124.24953,13.15953,5.07873,3.36695,-17.66943,-2.86332,0.69932,5.16747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
