PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-29,17:02:41.43,1,1,"Louthan, Ethan",1000132134,Right,UNO_MAV,"Rodriguez, Elijah",10112892,Left,ORA_GOL,Undefined,1,Top,0,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.11456,1.43564,-1.647786,1835.893241,91.382154,9:00,6.07627,2.00317,6.29507,-42.73239,1.6613,-6.60477,3.83892,-0.06599,71.8764,-6.533008,-2.841593,0.479548,,,,,,,,,,,,2.89307,0.91949,-1.87915,50,6.16197,3.54541,-114.83901,1.6116,3.82047,23.47543,-30.95978,UNO_MAV,ORA_GOL,TalAndersonField,D1,SUM,20240329-TalAndersonField-1,10a3f370-ee18-11ee-962f-692a94eb7898,78.59993,,,7.23816,,,,,,,9508bdb9-328c-4648-b31c-21d29448aae0,2024-03-29,22:02:41.43,2024-03-29T17:02:41.4348998-05:00,2024-03-29T22:02:41.4348998Z,,v3,471375,471403,,"Dick, Cardel",1000197604,Right,UNO_MAV,18c1f9b8-d1b9-4cd4-84e8-39f2e84b6db7,54.20172,-115.69474,11.73771,6.08265,2.74015,-15.47989,-2.00585,3.40615,1.91023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-29,17:02:51.90,1,2,"Louthan, Ethan",1000132134,Right,UNO_MAV,"Rodriguez, Elijah",10112892,Left,ORA_GOL,Undefined,1,Top,0,1,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.55539,-2.20266,-2.517431,1922.769123,156.01641,11:15,6.09807,1.75907,6.73831,-34.51128,7.6539,-2.76252,1.20661,-0.77281,73.55366,-8.67789,-3.021309,0.467357,,,,,,,,,,,,0.67571,5.17689,-1.59248,50,5.93995,5.23347,-116.90342,-5.41644,0.92431,24.409,-25.09247,UNO_MAV,ORA_GOL,TalAndersonField,D1,SUM,20240329-TalAndersonField-1,16dde250-ee18-11ee-962f-692a94eb7898,80.65026,,,7.00173,,,,,,,9508bdb9-328c-4648-b31c-21d29448aae0,2024-03-29,22:02:51.90,2024-03-29T17:02:51.9093958-05:00,2024-03-29T22:02:51.9093958Z,,v3,471375,471403,,"Dick, Cardel",1000197604,Right,UNO_MAV,1ac80736-cb63-48ae-9e4f-dad0b4e74ec8,53.75891,-117.68565,12.2045,6.10064,-4.61231,-12.54624,-1.75972,5.20386,0.46216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-29,17:03:02.80,1,3,"Louthan, Ethan",1000132134,Right,UNO_MAV,"Rodriguez, Elijah",10112892,Left,ORA_GOL,Undefined,1,Top,0,2,0,FourSeamFastBall,Slider,InPlay,Undefined,GroundBall,Out,1,0,,83.29812,-2.043181,-1.629122,1964.506916,185.177864,12:15,6.07767,1.69295,7.31148,-24.02352,14.3969,1.18661,2.22775,0.3192,75.89058,-6.670028,-1.410282,0.446121,75.3578,-53.877803,60.940996,,,,,3.53467,3.53467,19.084719,0.02629,-1.14492,8.80764,-1.60233,50,5.95669,3.4074,-121.11101,-4.84385,-1.68349,25.86316,-19.22319,UNO_MAV,ORA_GOL,TalAndersonField,D1,SUM,20240329-TalAndersonField-1,1d55eba0-ee18-11ee-962f-692a94eb7898,84.4893,2.3541,,7.40754,,,,2.50592,2.3541,-0.34606,9508bdb9-328c-4648-b31c-21d29448aae0,2024-03-29,22:03:02.80,2024-03-29T17:03:02.8042950-05:00,2024-03-29T22:03:02.8042950Z,GroundBall,v3,471375,471403,,"Dick, Cardel",1000197604,Right,UNO_MAV,ee1d199f-eab6-4c0a-a5fb-4432dd600868,53.18676,-121.78964,12.93158,6.07717,-4.33945,-9.6116,-1.69232,3.45157,-0.84174,,2.50552,31.74139,,,,,,,,2.35523,-89.54499,,,,,,,,-0.34678,57.12416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
4,2024-03-29,17:03:32.37,2,1,"Louthan, Ethan",1000132134,Right,UNO_MAV,"LaLiberte, Cameron",690752,Right,ORA_GOL,Undefined,1,Top,1,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.89726,-2.180716,-3.748152,1898.960201,154.451214,11:15,5.92357,1.89144,6.97158,-34.34423,6.90107,-2.66835,1.07268,-1.74525,74.3759,-8.624617,-4.235858,0.462231,,,,,,,,,,,,0.32988,4.74575,-1.65915,50,5.77737,7.77694,-117.37692,-5.35719,0.45821,23.11771,-25.58201,UNO_MAV,ORA_GOL,TalAndersonField,D1,SUM,20240329-TalAndersonField-1,2efb7000-ee18-11ee-962f-692a94eb7898,81.54467,,,6.52136,,,,,,,9508bdb9-328c-4648-b31c-21d29448aae0,2024-03-29,22:03:32.37,2024-03-29T17:03:32.3738822-05:00,2024-03-29T22:03:32.3738822Z,,v3,471375,471403,,"Dick, Cardel",1000197604,Right,UNO_MAV,bf9a5165-7980-44dc-a784-0fcd5c5c4714,53.52622,-118.06938,11.55886,5.92636,-4.59092,-12.79101,-1.89189,7.76321,0.2291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-29,17:03:43.41,2,2,"Louthan, Ethan",1000132134,Right,UNO_MAV,"LaLiberte, Cameron",690752,Right,ORA_GOL,Undefined,1,Top,1,1,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,83.78557,-3.04021,-0.774605,2030.894973,184.717981,12:15,6.13301,1.52098,7.43356,-20.12997,17.75969,1.35685,1.71171,0.93565,76.21088,-6.956034,-0.52368,0.443029,,,,,,,,,,,,-0.97882,10.9928,-1.47967,50,5.96402,1.60372,-121.76029,-6.85542,-1.45244,26.49116,-15.86228,UNO_MAV,ORA_GOL,TalAndersonField,D1,SUM,20240329-TalAndersonField-1,358e5450-ee18-11ee-962f-692a94eb7898,85.07901,,,7.57469,,,,,,,9508bdb9-328c-4648-b31c-21d29448aae0,2024-03-29,22:03:43.41,2024-03-29T17:03:43.4163398-05:00,2024-03-29T22:03:43.4163398Z,,v3,471375,471403,,"Dick, Cardel",1000197604,Right,UNO_MAV,d0e96267-3a53-49f4-ad0c-d2010fb6136d,53.0638,-122.42506,13.24558,6.13105,-6.45737,-7.93114,-1.52037,1.64017,-0.72622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-29,17:03:56.79,2,3,"Louthan, Ethan",1000132134,Right,UNO_MAV,"LaLiberte, Cameron",690752,Right,ORA_GOL,Undefined,1,Top,1,2,0,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.67962,-1.758305,-0.997622,1984.182593,186.840354,12:15,6.17498,1.72929,7.48125,-21.95899,15.89784,1.75079,2.76055,0.9765,76.02745,-6.02834,-0.673607,0.442837,57.47218,-10.057308,-58.244369,,,,,15.91676,14.95808,-54.565421,0.171216,-1.26843,9.5976,-1.6769,50,6.07619,2.06591,-121.72936,-4.1746,-1.88014,26.601,-17.94773,UNO_MAV,ORA_GOL,TalAndersonField,D1,SUM,20240329-TalAndersonField-1,3d83d5e0-ee18-11ee-962f-692a94eb7898,85.11591,2.92387,,7.65217,,,,1.84421,2.92387,-0.88002,9508bdb9-328c-4648-b31c-21d29448aae0,2024-03-29,22:03:56.79,2024-03-29T17:03:56.7969990-05:00,2024-03-29T22:03:56.7969990Z,GroundBall,v3,471375,471403,,"Dick, Cardel",1000197604,Right,UNO_MAV,fdb7c05b-41f9-4e8f-be6f-d25efd676e7e,53.0166,-122.38679,13.3005,6.17388,-3.73104,-8.97387,-1.72853,2.11238,-0.94007,102.230215,1.84423,43.67983,-3.23443,,,,,,,2.92392,-14.72409,-13.74664,,,,,,,-0.88006,-70.57005,-0.1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2024-03-29,17:04:12.48,2,4,"Louthan, Ethan",1000132134,Right,UNO_MAV,"LaLiberte, Cameron",690752,Right,ORA_GOL,Undefined,1,Top,1,2,1,FourSeamFastBall,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,83.19076,-3.454201,-2.359657,1916.729027,174.918945,11:45,6.10691,1.8089,7.41048,-20.971,17.26977,-1.42583,1.2373,-0.43947,76.36515,-7.49341,-2.622842,0.445076,,,,,,,,,,,,0.10039,10.74127,-1.6811,50,5.91381,5.02307,-120.82104,-7.71652,0.14807,24.04823,-16.33334,UNO_MAV,ORA_GOL,TalAndersonField,D1,SUM,20240329-TalAndersonField-1,46e19a00-ee18-11ee-962f-692a94eb7898,84.68758,,,6.82561,,,,,,,9508bdb9-328c-4648-b31c-21d29448aae0,2024-03-29,22:04:12.48,2024-03-29T17:04:12.4821190-05:00,2024-03-29T22:04:12.4821190Z,,v3,471375,471403,,"Dick, Cardel",1000197604,Right,UNO_MAV,8b7ce9a6-0ab7-4562-9818-52820333eaae,53.08725,-121.43397,12.02412,6.10518,-7.30023,-8.16667,-1.80907,5.01929,0.07404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-29,17:04:25.36,2,5,"Louthan, Ethan",1000132134,Right,UNO_MAV,"LaLiberte, Cameron",690752,Right,ORA_GOL,Undefined,1,Top,1,3,1,FourSeamFastBall,Slider,BallCalled,Walk,Undefined,Undefined,0,0,,83.16356,-0.500918,-2.713908,2020.220919,184.116639,12:15,6.15878,1.75221,7.21533,-26.07789,12.29091,0.79949,3.53158,-0.64012,76.2822,-5.488827,-2.567,0.445821,,,,,,,,,,,,-1.18165,7.13134,-1.59636,50,6.12212,5.7067,-120.94003,-1.66212,-1.75049,23.54002,-21.60973,UNO_MAV,ORA_GOL,TalAndersonField,D1,SUM,20240329-TalAndersonField-1,4e9138f0-ee18-11ee-962f-692a94eb7898,84.5461,,,6.88137,,,,,,,9508bdb9-328c-4648-b31c-21d29448aae0,2024-03-29,22:04:25.36,2024-03-29T17:04:25.3695686-05:00,2024-03-29T22:04:25.3695686Z,,v3,471375,471403,,"Dick, Cardel",1000197604,Right,UNO_MAV,3679fa9f-f65c-4fde-95ea-2069f193252a,53.28216,-121.5772,11.77001,6.15919,-1.07719,-10.80487,-1.75147,5.75408,-0.87525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-29,17:04:51.89,3,1,"Louthan, Ethan",1000132134,Right,UNO_MAV,"Booker, Kyle",694463,Left,ORA_GOL,Undefined,1,Top,1,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,83.47176,-1.077394,-1.015277,1972.49148,178.810155,12:00,6.20323,2.06014,7.13268,-21.02013,17.06804,-0.33032,3.47428,1.11184,76.63848,-5.129127,-1.075976,0.444188,,,,,,,,,,,,-0.09972,9.81201,-2.00028,50,6.13265,2.16386,-121.48212,-2.73962,-0.14934,23.33529,-17.48063,UNO_MAV,ORA_GOL,TalAndersonField,D1,SUM,20240329-TalAndersonField-1,5e5ec900-ee18-11ee-962f-692a94eb7898,84.85699,,,6.83328,,,,,,,9508bdb9-328c-4648-b31c-21d29448aae0,2024-03-29,22:04:51.89,2024-03-29T17:04:51.8926022-05:00,2024-03-29T22:04:51.8926022Z,,v3,471375,471403,,"Dick, Cardel",1000197604,Right,UNO_MAV,257ece65-3335-4d8a-ab32-b8ee0d7a2e66,53.36469,-122.12673,11.66765,6.20166,-2.25674,-8.74032,-2.06011,2.16798,-0.07467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-29,17:05:23.33,3,2,"Louthan, Ethan",1000132134,Right,UNO_MAV,"Booker, Kyle",694463,Left,ORA_GOL,Undefined,1,Top,1,1,0,FourSeamFastBall,Slider,InPlay,Undefined,GroundBall,Out,1,0,,82.55806,-1.646929,-2.536116,2073.81069,174.930042,11:45,6.24191,1.92472,7.04564,-23.05127,16.27438,-1.33193,2.82312,-0.49144,75.58071,-6.066839,-2.780099,0.451346,76.20362,-1.448708,43.954043,3607.967049,,,,37.39081,35.04664,41.961161,0.334354,-0.01429,9.58036,-1.77106,50,6.13443,5.35773,-119.99278,-3.97445,-0.02074,23.97309,-18.25473,UNO_MAV,ORA_GOL,TalAndersonField,D1,SUM,20240329-TalAndersonField-1,711aed80-ee18-11ee-962f-692a94eb7898,83.51123,2.99517,,6.97735,,,,2.00076,2.99517,0.37452,9508bdb9-328c-4648-b31c-21d29448aae0,2024-03-29,22:05:23.33,2024-03-29T17:05:23.3371334-05:00,2024-03-29T22:05:23.3371334Z,GroundBall,v3,471375,471403,,"Dick, Cardel",1000197604,Right,UNO_MAV,73edd044-4cae-4f9b-9d11-8a2bef6edbf2,53.45303,-120.68068,11.98655,6.24096,-3.45063,-9.12737,-1.92481,5.35833,-0.01037,,2.00296,80.346,-9.52958,,,,,,,2.99871,-2.96673,-17.98153,,,,,,,0.37761,77.42568,-11.33956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Medium,,,
