PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-04-13,14:01:28.61,1,1,"Riedel, Caleb",1000120428,Left,UNO_MAV,"Anderson, Reece",802169,Right,SOU_JAC,Undefined,1,Top,0,0,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.01206,-1.038289,2.585757,1995.273879,138.134754,10:30,5.27455,-1.18835,6.20661,-21.43552,15.68946,-12.82091,2.52886,0.13148,78.19557,-5.137552,0.273079,0.438535,,,,,,,,,,,,7.49965,8.86528,1.0004,50,5.18589,-5.1819,-126.1348,-2.88879,11.85512,30.15562,-18.16017,UNO_MAV,SOU_JAC,TalAndersonField,D1,SUM,20240413-TalAndersonField-1,3c0e4e50-f9c8-11ee-8e74-81782379e31b,85.95074,,,8.81649,,,,,,,d3f739dc-bbb4-4041-816e-df8b8ed748fa,2024-04-13,19:01:28.61,2024-04-13T14:01:28.6191492-05:00,2024-04-13T19:01:28.6191492Z,,v3,471375,471442,,"Dick, Cardel",1000197604,Right,UNO_MAV,40ca81b6-f2fb-40c4-aa14-1f48ff8d12f1,54.28973,-127.15623,15.07781,5.27332,-2.27367,-9.08009,1.18272,-5.58346,5.92756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-04-13,14:01:43.25,1,2,"Riedel, Caleb",1000120428,Left,UNO_MAV,"Anderson, Reece",802169,Right,SOU_JAC,Undefined,1,Top,0,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.43284,0.220754,2.531729,2067.715584,130.352076,10:15,5.3206,-1.04819,6.10095,-21.26458,15.32209,-16.55607,3.75291,-0.08492,79.09919,-3.82725,-0.448325,0.435344,,,,,,,,,,,,9.26634,8.19374,0.86172,50,5.32641,-4.92619,-126.85442,-0.12696,14.95732,28.22937,-18.94811,UNO_MAV,SOU_JAC,TalAndersonField,D1,SUM,20240413-TalAndersonField-1,44cb3e90-f9c8-11ee-8e74-81782379e31b,86.58074,,,8.33365,,,,,,,d3f739dc-bbb4-4041-816e-df8b8ed748fa,2024-04-13,19:01:43.25,2024-04-13T14:01:43.2547204-05:00,2024-04-13T19:01:43.2547204Z,,v3,471375,471442,,"Dick, Cardel",1000197604,Right,UNO_MAV,9140199b-2f12-4895-a3a9-9d31df85496c,54.39604,-127.82894,14.11468,5.3195,0.52716,-9.47406,1.04069,-5.44254,7.47866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-04-13,14:01:54.80,1,3,"Riedel, Caleb",1000120428,Left,UNO_MAV,"Anderson, Reece",802169,Right,SOU_JAC,Undefined,1,Top,0,1,1,Fastball,Sinker,InPlay,Undefined,FlyBall,Single,0,0,,86.99947,-0.800058,1.391852,2170.395714,128.483964,10:15,5.28996,-1.32283,6.17307,-21.79537,14.99682,-17.28568,2.73451,-1.47758,78.93135,-4.939897,-1.727483,0.436565,69.38587,22.928479,30.801819,2957.079123,90.25221,27.30425,62.88509,195.95802,192.80552,37.729266,2.729211,9.39406,8.37772,1.22623,50,5.21836,-2.38462,-126.34496,-2.39374,15.03728,28.07672,-18.76369,UNO_MAV,SOU_JAC,TalAndersonField,D1,SUM,20240413-TalAndersonField-1,4bad5450-f9c8-11ee-8e74-81782379e31b,86.33859,27.34896,,8.06811,,,,1.14402,2.71919,1.45163,d3f739dc-bbb4-4041-816e-df8b8ed748fa,2024-04-13,19:01:54.80,2024-04-13T14:01:54.8098948-05:00,2024-04-13T19:01:54.8098948Z,LineDrive,v3,471375,471442,,"Dick, Cardel",1000197604,Right,UNO_MAV,c53a4188-df1b-4192-a526-22db8e839c70,54.32541,-127.30253,14.03836,5.28908,-1.75379,-9.38184,1.31631,-2.89748,7.51864,229.171859,1.14381,80.51394,-13.45251,2.91571,-0.90437,0.4149,-0.17609,0.04185,-0.00391,2.71935,39.63938,-17.01334,0.87029,0.1041,-0.19135,0.1006,-0.0236,0.00207,1.45152,48.00031,-1.53692,-0.12274,-0.12588,0.1723,-0.08091,0.01847,-0.00166,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2024-04-13,14:02:29.61,2,1,"Riedel, Caleb",1000120428,Left,UNO_MAV,"Sagedahl, Jordan",802160,Right,SOU_JAC,Undefined,1,Top,0,0,0,Fastball,Changeup,InPlay,Undefined,FlyBall,Triple,0,1,,85.10126,-0.767941,3.097741,2001.693174,125.666484,10:15,5.23917,-1.3697,6.10102,-24.82241,14.01493,-17.5721,2.45934,0.03364,76.77757,-5.469624,-0.064634,0.448535,98.69337,29.062488,4.902183,2972.237827,109.17098,57.34286,13.47917,390.84795,386.57955,10.623204,5.003997,10.07253,7.87965,1.14045,50,5.1671,-5.98241,-123.36585,-2.38159,15.29425,27.91295,-20.2095,UNO_MAV,SOU_JAC,TalAndersonField,D1,SUM,20240413-TalAndersonField-1,606c26a0-f9c8-11ee-8e74-81782379e31b,84.03459,82.83953,,8.32369,,,,0.89312,2.45233,-0.03706,d3f739dc-bbb4-4041-816e-df8b8ed748fa,2024-04-13,19:02:29.61,2024-04-13T14:02:29.6143236-05:00,2024-04-13T19:02:29.6143236Z,FlyBall,v3,471375,471442,,"Dick, Cardel",1000197604,Right,UNO_MAV,95449d4f-ca5d-4e66-b413-d34a14da4ff9,54.39666,-124.35666,13.95647,5.23891,-1.66423,-10.10475,1.36244,-6.5253,7.64713,203.913791,0.89612,126.00486,-23.68483,5.54784,-0.88412,0.05834,0.00615,-0.00116,4E-05,2.45209,70.30456,-16.16543,0.01421,0.34311,-0.16039,0.04417,-0.00626,0.00034,-0.03719,10.81187,3.79556,-1.65588,0.43231,-0.07291,0.00751,-0.00044,1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
5,2024-04-13,14:03:15.20,3,1,"Riedel, Caleb",1000120428,Left,UNO_MAV,"Frost, Cael",1000114597,Left,SOU_JAC,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.81484,0.229992,1.828003,2177.744457,126.559786,10:15,5.3317,-1.22393,6.06616,-22.58623,13.50339,-16.62997,3.66247,-0.91748,79.93023,-4.037303,-1.165532,0.432377,,,,,,,,,,,,9.03756,7.23674,1.09064,50,5.33746,-3.37885,-127.52973,-0.17372,14.82957,27.1191,-20.2994,UNO_MAV,SOU_JAC,TalAndersonField,D1,SUM,20240413-TalAndersonField-1,7b967f20-f9c8-11ee-8e74-81782379e31b,87.17495,,,7.88461,,,,,,,d3f739dc-bbb4-4041-816e-df8b8ed748fa,2024-04-13,19:03:15.20,2024-04-13T14:03:15.2082820-05:00,2024-04-13T19:03:15.2082820Z,,v3,471375,471442,,"Dick, Cardel",1000197604,Right,UNO_MAV,ead36e0e-47a4-44a3-81d0-756d106c0b54,54.43136,-128.4686,13.55955,5.33132,0.52905,-10.1497,1.2165,-3.89225,7.41479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-04-13,14:03:31.04,3,2,"Riedel, Caleb",1000120428,Left,UNO_MAV,"Frost, Cael",1000114597,Left,SOU_JAC,Undefined,1,Top,0,1,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.71134,-1.259217,2.210692,2194.803636,135.34073,10:30,5.2863,-1.16202,6.21179,-20.03627,15.84591,-14.52997,2.45344,-0.33159,80.1884,-5.061947,-0.411692,0.431132,63.76374,46.100326,-45.805582,4374.107619,,,,,70.4478,,,8.18422,8.91957,1.00346,50,5.18173,-4.34866,-127.41332,-3.37541,13.44394,26.35815,-17.52216,UNO_MAV,SOU_JAC,TalAndersonField,D1,SUM,20240413-TalAndersonField-1,850b74c0-f9c8-11ee-8e74-81782379e31b,87.42659,56.83484,,7.52294,,,,1.77084,2.4728,0.34132,d3f739dc-bbb4-4041-816e-df8b8ed748fa,2024-04-13,19:03:31.04,2024-04-13T14:03:31.0433156-05:00,2024-04-13T19:03:31.0433156Z,,v3,471375,471442,,"Dick, Cardel",1000197604,Right,UNO_MAV,18c765ec-5ee9-4179-a9a5-6c087c1aba77,54.28767,-128.29725,13.17908,5.28507,-2.7878,-8.76108,1.15685,-4.7995,6.72197,144.329509,1.77084,45.20422,-9.59034,2.17972,-0.47471,0.08521,-0.01729,0.00345,-0.0005,2.4728,67.38631,-20.6498,1.68931,-0.31711,0.05252,-0.00755,0.00144,-0.00013,0.34132,-46.49359,2.87583,-0.15454,-0.03991,0.02035,-0.00462,0.00091,-0.00012,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
7,2024-04-13,14:04:46.78,3,3,"Riedel, Caleb",1000120428,Left,UNO_MAV,"Frost, Cael",1000114597,Left,SOU_JAC,Undefined,1,Top,0,1,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.83119,-0.175719,3.657457,2145.788048,136.246807,10:30,5.28561,-1.08242,6.21122,-18.14895,17.38619,-15.4165,3.6107,1.01295,79.91421,-3.673726,0.881366,0.429043,,,,,,,,,,,,9.09351,9.4063,0.81503,50,5.26324,-7.58387,-128.70085,-0.88128,15.0344,30.27081,-16.62251,UNO_MAV,SOU_JAC,TalAndersonField,D1,SUM,20240413-TalAndersonField-1,b22ec8d0-f9c8-11ee-8e74-81782379e31b,87.85244,,,8.91698,,,,,,,d3f739dc-bbb4-4041-816e-df8b8ed748fa,2024-04-13,19:04:46.78,2024-04-13T14:04:46.7830000-05:00,2024-04-13T19:04:46.7830000Z,,v3,471375,471442,,"Dick, Cardel",1000197604,Right,UNO_MAV,afe57a33-57b3-471f-8e46-071a0f397e84,54.28472,-129.70472,15.1354,5.28332,-0.33004,-8.31126,1.0748,-8.08245,7.5172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-04-13,14:05:03.78,3,4,"Riedel, Caleb",1000120428,Left,UNO_MAV,"Frost, Cael",1000114597,Left,SOU_JAC,Undefined,1,Top,0,1,2,Fastball,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,87.01967,-0.426767,2.201765,2099.84411,136.319577,10:30,5.25261,-1.27526,6.14075,-18.99666,18.18887,-16.05178,3.27487,-0.57717,78.10464,-4.089603,-0.690716,0.438893,73.8143,54.522715,59.973055,4008.502912,44.57052,91.08218,100.56574,172.05773,137.95751,65.63924,4.586007,9.01934,9.92772,1.1155,50,5.21035,-4.20001,-126.18789,-1.44853,14.26776,30.20773,-16.46932,UNO_MAV,SOU_JAC,TalAndersonField,D1,SUM,20240413-TalAndersonField-1,bc52c320-f9c8-11ee-8e74-81782379e31b,85.88076,92.04761,,8.91504,,,,1.48759,3.27994,0.57632,d3f739dc-bbb4-4041-816e-df8b8ed748fa,2024-04-13,19:05:03.78,2024-04-13T14:05:03.7850000-05:00,2024-04-13T19:05:03.7850000Z,FlyBall,v3,471375,471442,,"Dick, Cardel",1000197604,Right,UNO_MAV,d6ae5f4e-da77-414e-af41-911e1a6d953f,54.35574,-127.22633,15.10387,5.25041,-0.88238,-8.23466,1.26831,-4.69049,7.13388,,1.51006,30.94392,-8.48483,-0.52154,2.52486,-1.32164,0.32081,-0.03699,0.0016,3.27351,88.33219,-27.19034,4.79629,-2.36896,1.06077,-0.29707,0.04363,-0.00256,0.57393,54.4778,-8.18684,2.38437,-1.35923,0.70762,-0.21929,0.03429,-0.00209,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
9,2024-04-13,14:05:27.87,4,1,"Riedel, Caleb",1000120428,Left,UNO_MAV,"Parry, Dawson",802183,Right,SOU_JAC,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.72058,-0.621489,1.727901,2306.954578,139.948113,10:45,5.25539,-1.05449,6.33822,-17.16091,18.84934,-14.80013,3.25283,-0.69649,79.37581,-3.940877,-0.94984,0.431901,68.94363,54.239703,137.07988,3622.782137,,,,,49.77069,,,8.27241,10.38355,0.93556,50,5.20198,-3.2661,-127.39265,-1.81855,13.44359,28.88025,-15.29959,UNO_MAV,SOU_JAC,TalAndersonField,D1,SUM,20240413-TalAndersonField-1,cab06f80-f9c8-11ee-8e74-81782379e31b,87.27098,55.02047,,8.34477,,,,1.26221,3.23791,0.71271,d3f739dc-bbb4-4041-816e-df8b8ed748fa,2024-04-13,19:05:27.87,2024-04-13T14:05:27.8780000-05:00,2024-04-13T19:05:27.8780000Z,,v3,471375,471442,,"Dick, Cardel",1000197604,Right,UNO_MAV,2c40ca03-50ab-4912-987a-6b3847f87191,54.16007,-128.33229,14.44012,5.25305,-1.32077,-7.64979,1.04894,-3.70349,6.72179,333.290335,1.26221,-43.27351,-1.97517,2.07734,-0.72207,0.19829,-0.04592,0.00795,-0.00054,3.23791,82.05347,-29.95192,4.00817,-0.78562,0.14571,-0.0505,0.02516,-0.0067,0.71271,40.24071,-7.0276,2.32863,-0.59805,0.14504,-0.04425,0.01619,-0.00367,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
10,,,4,2,"Riedel, Caleb",1000120428,Left,UNO_MAV,"Parry, Dawson",802183,Right,SOU_JAC,Undefined,1,Top,1,0,1,Fastball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNO_MAV,SOU_JAC,TalAndersonField,D1,SUM,20240413-TalAndersonField-1,d0ae3fc0-f9c8-11ee-8e74-81782379e31b,,,,,,,,,,,d3f739dc-bbb4-4041-816e-df8b8ed748fa,,,,,,v3,471375,471442,,"Dick, Cardel",1000197604,Right,UNO_MAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
