PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-30,13:02:01.90,1,1,"Riedel, Caleb",1000120428,Left,UNO_MAV,"Rodriguez, Elijah",10112892,Left,ORA_GOL,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.28544,-2.261741,1.862452,2148.271523,135.460141,10:30,5.43901,-0.95831,6.35361,-16.99627,19.29966,-17.7721,1.93872,-0.72448,79.33635,-5.535537,-1.354814,0.433611,,,,,,,,,,,,9.81056,11.09926,0.83114,50,5.26674,-3.42535,-126.69946,-5.43235,15.82414,27.75049,-14.27126,UNO_MAV,ORA_GOL,TalAndersonField,D1,SUM,20240330-TalAndersonField-1,9c5bcc10-eebf-11ee-a1fc-a7b04cfdc19c,86.92681,,,7.94909,,,,,,,9d9bf977-da15-4e6b-93cc-1ea2c218a58c,2024-03-30,18:02:01.90,2024-03-30T13:02:01.9000956-05:00,2024-03-30T18:02:01.9000956Z,,v3,471375,471403,,"Dick, Cardel",1000197604,Right,UNO_MAV,2231ab10-ed43-4c79-843b-6fd874532f8a,54.1447,-127.60403,13.87525,5.43623,-4.96715,-7.13563,0.9512,-3.94116,7.91207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-30,13:02:13.39,1,2,"Riedel, Caleb",1000120428,Left,UNO_MAV,"Rodriguez, Elijah",10112892,Left,ORA_GOL,Undefined,1,Top,0,1,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.16394,-0.874464,2.637032,2121.316965,139.360023,10:45,5.39754,-1.02454,6.27914,-16.40914,20.33804,-16.31729,3.22318,0.04801,78.51238,-4.068221,-0.309694,0.436298,,,,,,,,,,,,9.23941,11.18607,0.83701,50,5.32471,-5.15761,-126.40727,-2.32172,14.73623,29.198,-14.33303,UNO_MAV,ORA_GOL,TalAndersonField,D1,SUM,20240330-TalAndersonField-1,a337c750-eebf-11ee-a1fc-a7b04cfdc19c,86.39147,,,8.65156,,,,,,,9d9bf977-da15-4e6b-93cc-1ea2c218a58c,2024-03-30,18:02:13.39,2024-03-30T13:02:13.3952124-05:00,2024-03-30T18:02:13.3952124Z,,v3,471375,471403,,"Dick, Cardel",1000197604,Right,UNO_MAV,70ac99c0-6325-42fc-b448-737b598aaa57,54.21659,-127.3775,14.599,5.39395,-1.84544,-7.16652,1.01653,-5.64729,7.36812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-30,13:02:25.15,1,3,"Riedel, Caleb",1000120428,Left,UNO_MAV,"Rodriguez, Elijah",10112892,Left,ORA_GOL,Undefined,1,Top,0,1,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.84722,-2.652258,2.081617,2130.254741,146.593121,11:00,5.37657,-1.04817,6.36639,-13.42674,23.76651,-14.72237,1.81372,-0.35869,77.79539,-5.320563,-0.58267,0.438938,,,,,,,,,,,,8.73402,13.97406,0.90527,50,5.17901,-4.0562,-125.93087,-6.14179,13.66413,31.71308,-10.312,UNO_MAV,ORA_GOL,TalAndersonField,D1,SUM,20240330-TalAndersonField-1,aa33cdb0-eebf-11ee-a1fc-a7b04cfdc19c,85.87185,,,9.05184,,,,,,,9d9bf977-da15-4e6b-93cc-1ea2c218a58c,2024-03-30,18:02:25.15,2024-03-30T13:02:25.1541628-05:00,2024-03-30T18:02:25.1541628Z,,v3,471375,471403,,"Dick, Cardel",1000197604,Right,UNO_MAV,3927b441-4331-42d0-ad8e-da596d4170ed,54.13544,-126.96803,15.85654,5.37436,-5.80455,-5.156,1.04524,-4.50307,6.83206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-30,13:02:37.55,1,4,"Riedel, Caleb",1000120428,Left,UNO_MAV,"Rodriguez, Elijah",10112892,Left,ORA_GOL,Undefined,1,Top,0,1,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.53373,-1.365261,2.020413,2203.651556,142.718974,10:45,5.48048,-1.00984,6.45383,-13.54485,22.00848,-15.73245,3.09649,-0.46401,79.35533,-4.053142,-0.831605,0.429152,102.11302,-26.397366,-83.520008,,,,,5.60065,5.60065,-81.299436,0.045068,8.86032,12.31831,0.87317,50,5.3774,-3.89806,-128.41154,-3.33397,14.49116,31.67315,-12.02735,UNO_MAV,ORA_GOL,TalAndersonField,D1,SUM,20240330-TalAndersonField-1,b19af1f0-eebf-11ee-a1fc-a7b04cfdc19c,87.82995,3.00679,,9.17839,,,,0.16355,3.00679,0.48294,9d9bf977-da15-4e6b-93cc-1ea2c218a58c,2024-03-30,18:02:37.55,2024-03-30T13:02:37.5570044-05:00,2024-03-30T18:02:37.5570044Z,GroundBall,v3,471375,471403,,"Dick, Cardel",1000197604,Right,UNO_MAV,2734473b-1db8-49af-9b30-297339d01fee,54.0419,-129.40465,15.83658,5.47603,-2.95685,-6.01367,1.00252,-4.35243,7.24558,,0.16333,15.16977,,,,,,,,3.00776,-66.71733,,,,,,,,0.48487,-133.55797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
5,2024-03-30,13:03:01.98,1,5,"Riedel, Caleb",1000120428,Left,UNO_MAV,"Rodriguez, Elijah",10112892,Left,ORA_GOL,Undefined,1,Top,0,1,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.09229,-1.008401,3.017408,2192.906689,147.621051,11:00,5.41874,-1.05887,6.45359,-12.4339,23.1547,-13.74316,3.45481,0.57045,78.80466,-3.524932,0.529228,0.429365,88.34809,2.578949,-51.813242,4462.845544,,,,84.14203,84.14203,-55.119179,0.710409,8.24662,12.82847,0.85058,50,5.34132,-6.22997,-128.96487,-2.48293,13.43204,35.02872,-11.27913,UNO_MAV,ORA_GOL,TalAndersonField,D1,SUM,20240330-TalAndersonField-1,c02a83c0-eebf-11ee-a1fc-a7b04cfdc19c,87.78642,4.13599,,10.28764,,,,0.26708,3.6203,-0.93845,9d9bf977-da15-4e6b-93cc-1ea2c218a58c,2024-03-30,18:03:01.98,2024-03-30T13:03:01.9812988-05:00,2024-03-30T18:03:01.9812988Z,GroundBall,v3,471375,471403,,"Dick, Cardel",1000197604,Right,UNO_MAV,55fa8fc2-8e9b-48bf-b8f2-314454b432bf,54.03946,-130.05742,17.51436,5.41328,-2.13114,-5.63956,1.05143,-6.64892,6.71602,,0.26708,80.02682,-19.60234,2.83588,-0.55238,0.10094,-0.01546,0.00217,-0.00017,3.6203,5.83044,-16.85218,2.34137,-0.4497,0.11315,-0.02404,0.00437,-0.00056,-0.93845,-101.74433,8.28216,0.08962,-0.10146,0.04682,-0.01304,0.00251,-0.00029,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
6,2024-03-30,13:03:27.12,1,6,"Riedel, Caleb",1000120428,Left,UNO_MAV,"Rodriguez, Elijah",10112892,Left,ORA_GOL,Undefined,1,Top,0,1,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.39726,-0.919581,1.800129,2018.2306,320.261193,4:45,5.24599,-1.48283,6.3614,-49.01656,-0.80878,2.21874,0.31452,0.35924,68.93664,-10.034135,2.202809,0.499724,,,,,,,,,,,,-0.50902,0.42299,1.35157,50,5.15718,-3.55794,-110.78992,-3.16503,-0.61478,24.99787,-31.66315,UNO_MAV,ORA_GOL,TalAndersonField,D1,SUM,20240330-TalAndersonField-1,cf3204b0-eebf-11ee-a1fc-a7b04cfdc19c,75.42654,,,7.46062,,,,,,,9d9bf977-da15-4e6b-93cc-1ea2c218a58c,2024-03-30,18:03:27.12,2024-03-30T13:03:27.1238780-05:00,2024-03-30T18:03:27.1238780Z,,v3,471375,471403,,"Dick, Cardel",1000197604,Right,UNO_MAV,06bcac00-70cd-425f-bc05-f45f67789b79,54.1356,-111.71915,12.49894,5.25295,-1.98804,-15.83158,1.4834,-3.53509,-0.30739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-30,13:03:41.54,1,7,"Riedel, Caleb",1000120428,Left,UNO_MAV,"Rodriguez, Elijah",10112892,Left,ORA_GOL,Undefined,1,Top,0,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.24851,-4.307912,3.758034,2258.393576,148.982181,11:00,5.27764,-0.91804,6.60415,-13.04457,22.92852,-12.91871,0.22837,1.45289,78.95892,-6.905185,1.414923,0.431678,,,,,,,,,,,,8.26126,14.09863,0.66719,50,4.97776,-7.9062,-127.54041,-9.89065,13.25661,32.53575,-9.55038,UNO_MAV,ORA_GOL,TalAndersonField,D1,SUM,20240330-TalAndersonField-1,d7c65e50-eebf-11ee-a1fc-a7b04cfdc19c,87.31604,,,9.28959,,,,,,,9d9bf977-da15-4e6b-93cc-1ea2c218a58c,2024-03-30,18:03:41.54,2024-03-30T13:03:41.5412348-05:00,2024-03-30T18:03:41.5412348Z,,v3,471375,471403,,"Dick, Cardel",1000197604,Right,UNO_MAV,ef50ad73-eb46-4475-b0f7-ea93c7cd9a0d,53.89509,-128.53021,16.26787,5.27423,-9.60011,-4.77519,0.91384,-8.30949,6.62831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-30,13:03:56.49,1,8,"Riedel, Caleb",1000120428,Left,UNO_MAV,"Rodriguez, Elijah",10112892,Left,ORA_GOL,Undefined,1,Top,0,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,87.0484,-2.986742,2.797761,2243.548606,146.873724,11:00,5.2948,-0.99751,6.35831,-15.37776,21.73489,-13.23402,1.25872,0.47659,77.96846,-6.003373,0.404675,0.438463,,,,,,,,,,,,7.82634,12.73985,0.80051,50,5.07074,-5.62971,-125.99503,-6.9202,12.29748,30.97135,-12.15593,UNO_MAV,ORA_GOL,TalAndersonField,D1,SUM,20240330-TalAndersonField-1,e0a75150-eebf-11ee-a1fc-a7b04cfdc19c,85.96501,,,9.07994,,,,,,,9d9bf977-da15-4e6b-93cc-1ea2c218a58c,2024-03-30,18:03:56.49,2024-03-30T13:03:56.4927100-05:00,2024-03-30T18:03:56.4927100Z,,v3,471375,471403,,"Dick, Cardel",1000197604,Right,UNO_MAV,a0863c86-0c10-4ec3-98cd-95b06168748a,54.13697,-127.00788,15.48568,5.29054,-6.52266,-6.07797,0.99119,-6.03188,6.14874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-30,13:04:26.94,2,1,"Riedel, Caleb",1000120428,Left,UNO_MAV,"LaLiberte, Cameron",690752,Right,ORA_GOL,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,85.92809,-0.09177,2.180484,2191.032974,144.586502,10:45,5.35369,-1.29306,6.27745,-18.5921,19.22249,-12.69969,3.7197,-0.34054,77.3449,-3.689407,-0.113431,0.442589,,,,,,,,,,,,7.25453,10.38107,1.13773,50,5.33774,-4.23981,-124.65241,-0.66469,11.24129,28.60046,-16.08797,UNO_MAV,ORA_GOL,TalAndersonField,D1,SUM,20240330-TalAndersonField-1,f2ce61c0-eebf-11ee-a1fc-a7b04cfdc19c,85.16345,,,8.58319,,,,,,,9d9bf977-da15-4e6b-93cc-1ea2c218a58c,2024-03-30,18:04:26.94,2024-03-30T13:04:26.9463676-05:00,2024-03-30T18:04:26.9463676Z,,v3,471375,471403,,"Dick, Cardel",1000197604,Right,UNO_MAV,7cdaacd2-1a72-4f62-88af-a0b968574c5e,54.21805,-125.61647,14.30023,5.351,-0.1224,-8.04399,1.28703,-4.61873,5.62065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-30,13:04:41.64,2,2,"Riedel, Caleb",1000120428,Left,UNO_MAV,"LaLiberte, Cameron",690752,Right,ORA_GOL,Undefined,1,Top,0,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,86.90305,-2.962883,2.299533,2220.58922,140.39736,10:45,5.34673,-1.20796,6.31491,-18.16261,18.42619,-14.23871,1.09945,-0.27529,79.34828,-6.430797,-0.275523,0.435357,,,,,,,,,,,,8.05544,10.80016,1.04606,50,5.12074,-4.50627,-126.06407,-7.00551,12.92156,26.39519,-14.8497,UNO_MAV,ORA_GOL,TalAndersonField,D1,SUM,20240330-TalAndersonField-1,fb936850-eebf-11ee-a1fc-a7b04cfdc19c,86.57826,,,7.55477,,,,,,,9d9bf977-da15-4e6b-93cc-1ea2c218a58c,2024-03-30,18:04:41.64,2024-03-30T13:04:41.6410236-05:00,2024-03-30T18:04:41.6410236Z,,v3,471375,471403,,"Dick, Cardel",1000197604,Right,UNO_MAV,5ad8d8e5-f6dc-49e5-9b83-144ab25135c4,54.18324,-126.93693,13.1976,5.34428,-6.51445,-7.42485,1.20214,-4.93357,6.46078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
