PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-05-11,19:03:13.98,1,1,"Kreiling, Harrison",1000098154,Right,UNO_MAV,"Moris, Max",1000132387,Right,THO_M,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.01232,-1.409835,-3.578748,2357.949717,221.142465,1:15,5.26233,2.84647,5.89633,-13.84642,18.6032,15.31812,2.79675,0.79614,84.61177,-4.074546,-0.836139,0.409993,,,,,,,,,,,,-8.80784,10.21658,-2.56671,50,5.14063,7.74429,-134.82461,-3.71031,-16.17833,29.88821,-13.40816,UNO_MAV,THO_M,TalAndersonField,D1,SUM,20240511-TalAndersonField-1,0733f590-0ff3-11ef-bd75-e7396536dc85,91.93441,,,8.40055,,,,,,,25e06082-d6f0-42c4-b75d-98de8cc40e10,2024-05-12,00:03:13.98,2024-05-11T19:03:13.9808576-05:00,2024-05-12T00:03:13.9808576Z,,v3,471375,stthomas,,"Dick, Cardel",1000197604,Right,UNO_MAV,0cd8382a-0988-43e9-9f86-cf14aa0045d1,54.60133,-135.84081,14.94411,5.25904,-3.25443,-6.70408,-2.83937,8.29436,-8.08916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-05-11,19:03:29.65,1,2,"Kreiling, Harrison",1000098154,Right,UNO_MAV,"Moris, Max",1000132387,Right,THO_M,Undefined,1,Top,0,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.46961,-2.704273,-3.133368,2515.109956,81.915483,8:45,5.15462,2.78634,5.35475,-40.79203,-0.57114,-12.80442,-0.78661,-1.22227,78.01792,-10.047582,-5.407552,0.456454,,,,,,,,,,,,5.64406,0.75402,-2.49455,50,4.88139,7.21606,-122.36408,-7.25971,8.5213,25.0943,-31.03563,UNO_MAV,THO_M,TalAndersonField,D1,SUM,20240511-TalAndersonField-1,108b2a00-0ff3-11ef-bd75-e7396536dc85,82.5766,,,6.45169,,,,,,,25e06082-d6f0-42c4-b75d-98de8cc40e10,2024-05-12,00:03:29.65,2024-05-11T19:03:29.6586048-05:00,2024-05-12T00:03:29.6586048Z,,v3,471375,stthomas,,"Dick, Cardel",1000197604,Right,UNO_MAV,6b263471-b62a-4016-878c-4ceb81ecf2e1,55.14703,-123.41511,12.54715,5.15823,-5.95983,-15.51782,-2.78931,6.85916,4.26065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-05-11,19:03:48.30,1,3,"Kreiling, Harrison",1000098154,Right,UNO_MAV,"Moris, Max",1000132387,Right,THO_M,Undefined,1,Top,0,1,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Error,0,0,,92.86427,-2.005963,-3.594636,2335.1037,214.015547,1:15,5.24419,2.6369,5.96671,-14.42186,18.00182,11.44091,2.17806,0.25308,84.72931,-4.768153,-1.543955,0.409829,94.03981,3.462323,9.22548,2055.052016,,,,80.79991,80.783,11.136388,0.629876,-6.91162,10.13756,-2.35822,50,5.07691,7.96654,-134.62624,-5.14135,-12.6758,29.41653,-13.58187,UNO_MAV,THO_M,TalAndersonField,D1,SUM,20240511-TalAndersonField-1,1bc72400-0ff3-11ef-bd75-e7396536dc85,91.97114,2.99284,,8.13497,,,,0.76256,2.09462,-0.24795,25e06082-d6f0-42c4-b75d-98de8cc40e10,2024-05-12,00:03:48.30,2024-05-11T19:03:48.3025216-05:00,2024-05-12T00:03:48.3025216Z,GroundBall,v3,471375,stthomas,,"Dick, Cardel",1000197604,Right,UNO_MAV,1f42a11c-cfb1-4368-8156-34ca06b23f43,54.5326,-135.61302,14.70826,5.24173,-4.68574,-6.79094,-2.63259,8.39175,-6.3379,285.306167,0.79044,135.29578,-17.03274,,,,,,,2.11545,7.88361,-17.89746,,,,,,,-0.26531,22.44616,4.4087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
4,2024-05-11,19:04:28.12,2,1,"Kreiling, Harrison",1000098154,Right,UNO_MAV,"Recchio, Tanner",1000255768,Left,THO_M,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.98496,0.607963,-2.585976,2264.852924,238.86077,2:00,5.08455,2.95215,5.799,-22.24202,11.16882,16.60899,3.79712,1.92938,83.24355,-3.572891,0.386612,0.416021,,,,,,,,,,,,-9.19855,5.84296,-2.74935,50,5.1214,5.27553,-133.40061,0.66228,-16.44219,30.85658,-21.72991,UNO_MAV,THO_M,TalAndersonField,D1,SUM,20240511-TalAndersonField-1,335f7c20-0ff3-11ef-bd75-e7396536dc85,90.60227,,,8.74142,,,,,,,25e06082-d6f0-42c4-b75d-98de8cc40e10,2024-05-12,00:04:28.12,2024-05-11T19:04:28.1235264-05:00,2024-05-12T00:04:28.1235264Z,,v3,471375,stthomas,,"Dick, Cardel",1000197604,Right,UNO_MAV,97bde6ab-2475-4b6c-9fb5-fabf22fdc2af,54.69823,-134.48296,15.42829,5.08481,1.42449,-10.86495,-2.94451,5.85227,-8.2211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-05-11,19:04:45.38,2,2,"Kreiling, Harrison",1000098154,Right,UNO_MAV,"Recchio, Tanner",1000255768,Left,THO_M,Undefined,1,Top,0,1,0,Fastball,Sinker,InPlay,Undefined,Bunt,Sacrifice,1,0,,91.7936,-1.170053,-4.60966,2311.742103,235.110693,1:45,5.13153,3.00885,5.71849,-20.36989,13.32686,17.47438,2.34044,0.16183,83.33367,-4.997798,-1.496403,0.417797,,,,,,,,,,,,-10.29394,7.45835,-2.63409,50,5.021,9.9462,-132.87007,-3.40448,-18.30748,29.84143,-18.90959,UNO_MAV,THO_M,TalAndersonField,D1,SUM,20240511-TalAndersonField-1,3da7a040-0ff3-11ef-bd75-e7396536dc85,90.21714,,,8.45993,,,,,,,25e06082-d6f0-42c4-b75d-98de8cc40e10,2024-05-12,00:04:45.38,2024-05-11T19:04:45.3885248-05:00,2024-05-12T00:04:45.3885248Z,,v3,471375,stthomas,,"Dick, Cardel",1000197604,Right,UNO_MAV,269b7d76-faa5-4b5d-a650-384d2d0398ea,54.78107,-133.93955,14.92072,5.13086,-2.72678,-9.45479,-3.00231,10.60231,-9.15374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-05-11,19:05:22.24,3,1,"Kreiling, Harrison",1000098154,Right,UNO_MAV,"Maulik, Matthew",1000283220,Left,THO_M,Undefined,1,Top,1,0,0,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.2873,0.138239,-2.339523,2523.148656,76.391273,8:30,5.04041,3.15531,5.72439,-43.92699,-2.22347,-14.59804,1.50869,-0.24145,75.53178,-7.894648,-4.949295,0.464791,73.66769,-37.113486,79.13488,,,,,4.03105,4.03105,35.354834,0.026123,6.80784,-0.84449,-2.95056,50,5.02461,5.4466,-119.46011,-1.19594,9.78075,24.25773,-33.38733,UNO_MAV,THO_M,TalAndersonField,D1,SUM,20240511-TalAndersonField-1,53bb0610-0ff3-11ef-bd75-e7396536dc85,81.09544,1.70689,,6.75552,,,,2.86245,1.70689,0.11716,25e06082-d6f0-42c4-b75d-98de8cc40e10,2024-05-12,00:05:22.24,2024-05-11T19:05:22.2463808-05:00,2024-05-12T00:05:22.2463808Z,GroundBall,v3,471375,stthomas,,"Dick, Cardel",1000197604,Right,UNO_MAV,dd19cf5f-f0f1-4d1c-a8b3-ef04ef1b13aa,54.77667,-120.42616,12.12887,5.04576,0.13369,-16.69366,-3.15971,5.05709,4.89038,,2.86229,16.27758,,,,,,,,1.7075,-65.34121,,,,,,,,0.11635,84.8063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
7,2024-05-11,19:05:48.22,3,2,"Kreiling, Harrison",1000098154,Right,UNO_MAV,"Maulik, Matthew",1000283220,Left,THO_M,Undefined,1,Top,1,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.59416,-2.036118,-3.406529,2408.813425,215.92762,1:15,5.24843,2.65682,5.78258,-14.90595,17.42202,11.82178,2.10774,0.46883,84.8995,-4.885835,-1.294041,0.409223,,,,,,,,,,,,-7.01496,9.79831,-2.38275,50,5.07135,7.53095,-135.56256,-5.27518,-12.97176,31.37902,-14.05546,UNO_MAV,THO_M,TalAndersonField,D1,SUM,20240511-TalAndersonField-1,63393da0-0ff3-11ef-bd75-e7396536dc85,92.10724,,,8.69466,,,,,,,25e06082-d6f0-42c4-b75d-98de8cc40e10,2024-05-12,00:05:48.22,2024-05-11T19:05:48.2260288-05:00,2024-05-12T00:05:48.2260288Z,,v3,471375,stthomas,,"Dick, Cardel",1000197604,Right,UNO_MAV,f8421af7-431f-4800-87e8-dd4a78a1f73b,54.7146,-136.64951,15.68951,5.24564,-4.78831,-7.02773,-2.65139,7.98028,-6.48588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-05-11,19:06:08.18,3,3,"Kreiling, Harrison",1000098154,Right,UNO_MAV,"Maulik, Matthew",1000283220,Left,THO_M,Undefined,1,Top,1,0,2,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.95426,-0.276809,-4.266032,1689.872057,232.976323,1:45,5.44817,2.74567,5.75314,-27.05797,11.30489,13.2756,2.93494,-0.12664,78.09186,-5.324685,-1.898307,0.445786,,,,,,,,,,,,-8.01087,6.2165,-2.39932,50,5.40878,8.73184,-124.46562,-1.48474,-12.49861,26.24388,-22.47505,UNO_MAV,THO_M,TalAndersonField,D1,SUM,20240511-TalAndersonField-1,6f0ae7f0-0ff3-11ef-bd75-e7396536dc85,84.55271,,,7.8624,,,,,,,25e06082-d6f0-42c4-b75d-98de8cc40e10,2024-05-12,00:06:08.18,2024-05-11T19:06:08.1859392-05:00,2024-05-12T00:06:08.1859392Z,,v3,471375,stthomas,,"Dick, Cardel",1000197604,Right,UNO_MAV,f0364eed-3c17-4d0b-8440-a3d8d205a885,54.74475,-125.46207,13.12194,5.44896,-0.63138,-11.23753,-2.73987,9.20639,-6.2493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-05-11,19:06:33.87,3,4,"Kreiling, Harrison",1000098154,Right,UNO_MAV,"Maulik, Matthew",1000283220,Left,THO_M,Undefined,1,Top,1,0,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,93.23305,-0.443409,-3.498579,2030.09039,220.462462,1:15,5.28056,2.69928,5.86765,-16.44221,15.8482,12.62583,3.49771,0.49755,84.85878,-3.570064,-1.239406,0.408986,,,,,,,,,,,,-7.42059,8.5315,-2.42294,50,5.23506,7.69949,-135.19256,-1.55679,-13.713,29.88547,-16.40814,UNO_MAV,THO_M,TalAndersonField,D1,SUM,20240511-TalAndersonField-1,7e6ae920-0ff3-11ef-bd75-e7396536dc85,92.16072,,,8.37426,,,,,,,25e06082-d6f0-42c4-b75d-98de8cc40e10,2024-05-12,00:06:33.87,2024-05-11T19:06:33.8742592-05:00,2024-05-12T00:06:33.8742592Z,,v3,471375,stthomas,,"Dick, Cardel",1000197604,Right,UNO_MAV,f2e19dd1-ec8a-46a8-8a2b-76529d746c06,54.63016,-136.21226,14.94273,5.27862,-0.99695,-8.20407,-2.69363,8.16737,-6.8565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-05-11,19:07:09.77,4,1,"Kreiling, Harrison",1000098154,Right,UNO_MAV,"Roder, Joe",1000227314,Left,THO_M,Undefined,1,Top,2,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.41055,-0.116023,-2.820073,2493.258755,71.666214,8:30,4.98568,3.08342,5.63357,-43.4942,-1.75536,-9.27508,1.25279,-0.32272,75.63712,-8.055911,-4.474875,0.464988,,,,,,,,,,,,3.89075,-0.46492,-2.83733,50,4.94797,6.26032,-119.55337,-1.74512,5.6051,24.04444,-32.84384,UNO_MAV,THO_M,TalAndersonField,D1,SUM,20240511-TalAndersonField-1,93c31540-0ff3-11ef-bd75-e7396536dc85,81.06112,,,6.77343,,,,,,,25e06082-d6f0-42c4-b75d-98de8cc40e10,2024-05-12,00:07:09.77,2024-05-11T19:07:09.7737536-05:00,2024-05-12T00:07:09.7737536Z,,v3,471375,stthomas,,"Dick, Cardel",1000197604,Right,UNO_MAV,b2433620-0fbd-4783-bb78-49b46521d838,54.86602,-120.52805,12.02222,4.99172,-0.41375,-16.42192,-3.08649,6.03311,2.80255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
