PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-04-12,18:04:15.42,1,1,"Bell, Charlie",1000213096,Right,UNO_MAV,"Anderson, Reece",802169,Right,SOU_JAC,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.56711,0.834196,-2.709179,1945.338807,200.18691,12:45,6.15564,1.84458,6.38801,-22.16962,17.65103,5.97122,5.0764,-0.15164,75.27244,-3.428169,-1.629601,0.454177,,,,,,,,,,,,-3.94567,9.32347,-1.65211,50,6.20528,5.50364,-121.17244,1.20594,-5.78488,26.74643,-18.50462,UNO_MAV,SOU_JAC,TalAndersonField,D1,SUM,20240412-TalAndersonField-1,fc2aff10-f920-11ee-8bad-81a86006180e,82.99056,,,8.29467,,,,,,,1b75936a-ea3e-4b5e-b8dc-c2e4bd68e5d1,2024-04-12,23:04:15.42,2024-04-12T18:04:15.4235044-05:00,2024-04-12T23:04:15.4235044Z,,v3,471375,471442,,"deMayo, Sid",1000080288,Right,UNO_MAV,e9991270-7845-4287-9f1b-9be560e7079e,54.10627,-122.07546,13.37322,6.15402,1.8307,-9.25231,-1.84122,5.69895,-2.89244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-04-12,18:04:28.91,1,2,"Bell, Charlie",1000213096,Right,UNO_MAV,"Anderson, Reece",802169,Right,SOU_JAC,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.74362,-2.216193,-3.4059,2098.194818,205.747474,12:45,5.94063,2.1201,6.43608,-20.82824,17.91477,7.9602,2.16368,-0.3502,76.56852,-6.210551,-1.965764,0.44799,69.65733,57.404371,120.915424,5569.163003,,,,,32.15653,,,-5.28233,10.49918,-1.88133,50,5.77341,7.01311,-122.78534,-5.29048,-7.94189,27.75115,-16.38876,UNO_MAV,SOU_JAC,TalAndersonField,D1,SUM,20240412-TalAndersonField-1,0438c390-f921-11ee-8bad-81a86006180e,84.13686,46.94723,,8.1751,,,,2.35242,2.39137,0.377,1b75936a-ea3e-4b5e-b8dc-c2e4bd68e5d1,2024-04-12,23:04:28.91,2024-04-12T18:04:28.9187492-05:00,2024-04-12T23:04:28.9187492Z,,v3,471375,471442,,"deMayo, Sid",1000080288,Right,UNO_MAV,d56c2a27-f38f-46a3-9e9f-75cd98adcb5c,54.06142,-123.69987,13.87557,5.93886,-4.75039,-8.19438,-2.11676,7.27483,-3.97095,325.04451,2.35242,-28.27616,-4.91032,2.52722,-0.78661,0.20657,-0.04887,0.0076,0.00018,2.39137,86.07243,-27.80949,3.31061,-0.54515,0.05192,0.02044,-0.02773,0.01209,0.377,47.21716,-10.44243,3.39017,-0.84831,0.18641,-0.02605,-0.0111,0.00769,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
3,2024-04-12,18:04:45.41,1,3,"Bell, Charlie",1000213096,Right,UNO_MAV,"Anderson, Reece",802169,Right,SOU_JAC,Undefined,1,Top,0,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.92105,-2.236794,-2.565085,2272.73026,205.676065,12:45,5.94477,2.08284,6.01542,-36.89506,5.92473,2.16099,0.79506,-0.11476,74.12581,-9.045627,-2.176031,0.47097,,,,,,,,,,,,-1.8902,4.12,-1.88284,50,5.74902,5.17744,-117.34748,-5.72202,-2.61578,23.77152,-26.47252,UNO_MAV,SOU_JAC,TalAndersonField,D1,SUM,20240412-TalAndersonField-1,0e0e9de0-f921-11ee-8bad-81a86006180e,80.03145,,,6.79524,,,,,,,1b75936a-ea3e-4b5e-b8dc-c2e4bd68e5d1,2024-04-12,23:04:45.41,2024-04-12T18:04:45.4157988-05:00,2024-04-12T23:04:45.4157988Z,,v3,471375,471442,,"deMayo, Sid",1000080288,Right,UNO_MAV,41f1353b-fc1f-452e-b957-493c39b00e97,54.48344,-118.25222,11.88576,5.94762,-4.71449,-13.23626,-2.08179,5.277,-1.30789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-04-12,18:05:01.23,1,4,"Bell, Charlie",1000213096,Right,UNO_MAV,"Anderson, Reece",802169,Right,SOU_JAC,Undefined,1,Top,0,2,1,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,85.0606,-2.078119,-2.142816,2126.012808,189.888948,12:15,6.15717,1.79209,6.21892,-17.39784,21.17194,3.4539,2.78753,0.10166,77.04872,-5.435878,-1.519714,0.446987,,,,,,,,,,,,-2.46811,12.04308,-1.63339,50,5.99284,4.48418,-123.37119,-4.91101,-3.76014,27.18169,-13.82656,UNO_MAV,SOU_JAC,TalAndersonField,D1,SUM,20240412-TalAndersonField-1,177effa0-f921-11ee-8bad-81a86006180e,84.32558,,,8.01188,,,,,,,1b75936a-ea3e-4b5e-b8dc-c2e4bd68e5d1,2024-04-12,23:05:01.23,2024-04-12T18:05:01.2341924-05:00,2024-04-12T23:05:01.2341924Z,,v3,471375,471442,,"deMayo, Sid",1000080288,Right,UNO_MAV,d00c669a-2a96-493f-8c3d-104e314513fe,54.27861,-124.3103,13.59085,6.15426,-4.43331,-6.91328,-1.79055,4.61409,-1.88007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-04-12,18:05:37.04,2,1,"Bell, Charlie",1000213096,Right,UNO_MAV,"Sagedahl, Jordan",802160,Right,SOU_JAC,Undefined,1,Top,1,0,0,Slider,Slider,InPlay,Undefined,Popup,Out,1,0,,79.92941,-0.23955,-2.572604,2276.532579,171.396208,11:45,5.89996,2.20654,5.82945,-37.71266,6.35756,-0.74394,2.53433,-0.24847,73.07215,-7.209093,-2.70586,0.477798,84.8138,78.366635,56.353022,4995.184382,,,,,22.39162,,,-0.37469,3.72508,-1.99595,50,5.85808,5.23859,-115.97109,-1.66501,-0.5074,22.81846,-27.12924,UNO_MAV,SOU_JAC,TalAndersonField,D1,SUM,20240412-TalAndersonField-1,2cd64160-f921-11ee-8bad-81a86006180e,78.88787,120.55336,,6.85726,,,,2.23833,2.63752,0.20966,1b75936a-ea3e-4b5e-b8dc-c2e4bd68e5d1,2024-04-12,23:05:37.04,2024-04-12T18:05:37.0413732-05:00,2024-04-12T23:05:37.0413732Z,,v3,471375,471442,,"deMayo, Sid",1000080288,Right,UNO_MAV,816bef13-e165-4f52-ae93-bbb7e78ff76a,54.66917,-116.88618,11.40923,5.90304,-0.57704,-13.56462,-2.20644,5.25894,-0.2537,,2.23833,13.89824,-9.2904,2.39481,-0.58118,0.14693,-0.03479,0.0064,-0.00063,2.63752,121.83807,-34.73807,5.99953,-1.50835,0.37725,-0.09025,0.01666,-0.00163,0.20966,20.88137,-6.38958,1.57691,-0.37616,0.09569,-0.02281,0.00421,-0.00042,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
6,2024-04-12,18:06:12.38,3,1,"Bell, Charlie",1000213096,Right,UNO_MAV,"Frost, Cael",1000114597,Left,SOU_JAC,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,84.97989,-0.323087,-2.031503,2011.297094,208.200093,1:00,5.95647,2.06224,6.25985,-19.0534,19.50938,9.73575,4.07059,0.99961,76.76935,-3.998038,-0.273466,0.446946,,,,,,,,,,,,-5.63685,10.58776,-1.91592,50,5.92295,3.98672,-123.30369,-1.17168,-8.57885,27.13679,-16.06029,UNO_MAV,SOU_JAC,TalAndersonField,D1,SUM,20240412-TalAndersonField-1,41de2aa0-f921-11ee-8bad-81a86006180e,84.33323,,,8.21055,,,,,,,1b75936a-ea3e-4b5e-b8dc-c2e4bd68e5d1,2024-04-12,23:06:12.38,2024-04-12T18:06:12.3864228-05:00,2024-04-12T23:06:12.3864228Z,,v3,471375,471442,,"deMayo, Sid",1000080288,Right,UNO_MAV,3a1d9d9a-fdfe-4b21-92ed-8bd2d7cfc450,54.2351,-124.23226,13.56839,5.95364,-0.62213,-8.03014,-2.05736,4.28027,-4.28942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-04-12,18:06:27.87,3,2,"Bell, Charlie",1000213096,Right,UNO_MAV,"Frost, Cael",1000114597,Left,SOU_JAC,Undefined,1,Top,2,1,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,78.20753,-1.456786,-2.369248,1568.528554,219.069694,1:15,5.823,2.32243,5.95083,-34.43474,12.17127,8.42146,1.6009,0.82561,70.38126,-7.904596,-0.85579,0.491351,,,,,,,,,,,,-5.09831,7.27225,-2.13848,50,5.68819,4.36468,-113.23712,-3.87908,-6.47395,24.92403,-22.93959,UNO_MAV,SOU_JAC,TalAndersonField,D1,SUM,20240412-TalAndersonField-1,4b2643e0-f921-11ee-8bad-81a86006180e,76.71178,,,7.82627,,,,,,,1b75936a-ea3e-4b5e-b8dc-c2e4bd68e5d1,2024-04-12,23:06:27.87,2024-04-12T18:06:27.8734500-05:00,2024-04-12T23:06:27.8734500Z,,v3,471375,471442,,"deMayo, Sid",1000080288,Right,UNO_MAV,ab4c58f6-e7a0-4133-8c7f-2ac3a52fa172,54.54282,-114.23264,12.46201,5.82483,-2.96282,-11.4698,-2.31798,4.62326,-3.23698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-04-12,18:06:44.03,3,3,"Bell, Charlie",1000213096,Right,UNO_MAV,"Frost, Cael",1000114597,Left,SOU_JAC,Undefined,1,Top,2,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.79854,-1.983765,-1.228489,2142.099364,202.177164,12:45,6.04992,1.96292,5.99255,-15.18347,22.34883,8.54402,2.94508,1.53628,78.12712,-4.941506,0.307582,0.440935,,,,,,,,,,,,-4.7517,12.48434,-1.87062,50,5.88514,2.33894,-125.80531,-4.71873,-7.49293,29.34869,-12.48763,UNO_MAV,SOU_JAC,TalAndersonField,D1,SUM,20240412-TalAndersonField-1,54c5a4e0-f921-11ee-8bad-81a86006180e,85.48306,,,8.67142,,,,,,,1b75936a-ea3e-4b5e-b8dc-c2e4bd68e5d1,2024-04-12,23:06:44.03,2024-04-12T18:06:44.0335524-05:00,2024-04-12T23:06:44.0335524Z,,v3,471375,471442,,"deMayo, Sid",1000080288,Right,UNO_MAV,16ea0ddb-d73a-440c-97c2-f54d6319ca16,54.50188,-126.85119,14.67435,6.04537,-4.27372,-6.24381,-1.95872,2.60596,-3.74647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-04-12,18:06:59.86,3,4,"Bell, Charlie",1000213096,Right,UNO_MAV,"Frost, Cael",1000114597,Left,SOU_JAC,Undefined,1,Top,2,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,85.57222,-1.767172,-3.585,2103.828502,200.573317,12:45,6.06074,1.94956,6.23016,-16.53749,21.85777,7.66737,3.04856,-0.72325,76.9641,-4.987616,-2.204426,0.445975,,,,,,,,,,,,-5.10634,12.27331,-1.68511,50,5.92011,7.45199,-123.87273,-4.20907,-7.80369,28.53948,-13.41745,UNO_MAV,SOU_JAC,TalAndersonField,D1,SUM,20240412-TalAndersonField-1,5e34a710-f921-11ee-8bad-81a86006180e,84.517,,,8.60812,,,,,,,1b75936a-ea3e-4b5e-b8dc-c2e4bd68e5d1,2024-04-12,23:06:59.86,2024-04-12T18:06:59.8662308-05:00,2024-04-12T23:06:59.8662308Z,,v3,471375,471442,,"deMayo, Sid",1000080288,Right,UNO_MAV,8f49bd4b-b489-454a-9fc7-bec90a19b57c,54.26406,-124.85128,14.26974,6.05654,-3.74903,-6.70873,-1.9452,7.71956,-3.90184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-04-12,18:07:17.32,3,5,"Bell, Charlie",1000213096,Right,UNO_MAV,"Frost, Cael",1000114597,Left,SOU_JAC,Undefined,1,Top,2,3,1,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,86.57167,-4.286525,-2.811647,2162.735049,203.045042,12:45,5.94852,2.03583,6.18257,-14.88591,22.53749,9.01682,0.73764,0.18885,78.57273,-7.166431,-1.186954,0.440294,,,,,,,,,,,,-5.54374,13.38981,-1.82801,50,5.61649,5.79752,-125.24804,-9.75174,-8.72057,27.59187,-11.11132,UNO_MAV,SOU_JAC,TalAndersonField,D1,SUM,20240412-TalAndersonField-1,689ada80-f921-11ee-8bad-81a86006180e,85.60737,,,7.99894,,,,,,,1b75936a-ea3e-4b5e-b8dc-c2e4bd68e5d1,2024-04-12,23:07:17.32,2024-04-12T18:07:17.3266596-05:00,2024-04-12T23:07:17.3266596Z,,v3,471375,471442,,"deMayo, Sid",1000080288,Right,UNO_MAV,858e92cc-c0cd-4b9f-8e09-072469c06999,54.31516,-126.19508,13.79594,5.94465,-9.37036,-5.55566,-2.03213,6.09683,-4.36029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
