PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-05-10,19:00:34.86,1,1,"Riedel, Caleb",1000120428,Left,UNO_MAV,"Moris, Max",1000132387,Right,THO_M,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.64098,-1.755717,2.76628,2206.568173,127.877691,10:15,5.38255,-1.21649,6.22415,-19.76422,15.61989,-18.52981,2.11317,-0.20626,80.52939,-5.51858,-0.577902,0.42813,,,,,,,,,,,,10.37583,8.9676,1.01819,50,5.2412,-5.45353,-128.59362,-4.50725,17.25167,28.41999,-17.2638,UNO_MAV,THO_M,TalAndersonField,D1,SUM,20240510-TalAndersonField-1,7dfbe270-0f29-11ef-841a-43d1c1e51cd7,88.03975,,,8.11159,,,,,,,4ca1cb3e-b1d4-4799-b25b-3637256834e3,2024-05-11,00:00:34.86,2024-05-10T19:00:34.8609600-05:00,2024-05-11T00:00:34.8609600Z,,v3,471375,stthomas,,"Dick, Cardel",1000197604,Right,UNO_MAV,b560cf6f-b622-4b38-9bc1-1640e329ee23,54.2736,-129.53467,14.21,5.38098,-3.93561,-8.6319,1.20823,-6.02477,8.62584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-05-10,19:00:47.90,1,2,"Riedel, Caleb",1000120428,Left,UNO_MAV,"Moris, Max",1000132387,Right,THO_M,Undefined,1,Top,0,0,1,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.55478,-0.443392,3.149316,2363.049754,128.0767,10:15,5.33892,-1.26224,6.15225,-19.43611,15.32898,-18.0595,3.30896,0.1455,81.17581,-4.149251,-0.102689,0.424368,,,,,,,,,,,,10.21894,8.39024,1.03144,50,5.29512,-6.39018,-129.90931,-1.57002,17.33737,29.04748,-17.93926,UNO_MAV,THO_M,TalAndersonField,D1,SUM,20240510-TalAndersonField-1,85be9430-0f29-11ef-841a-43d1c1e51cd7,88.82008,,,8.37896,,,,,,,4ca1cb3e-b1d4-4799-b25b-3637256834e3,2024-05-11,00:00:47.90,2024-05-10T19:00:47.9011392-05:00,2024-05-11T00:00:47.9011392Z,,v3,471375,stthomas,,"Dick, Cardel",1000197604,Right,UNO_MAV,72b73947-b248-437d-a765-930f7c086600,54.34532,-130.8773,14.52374,5.33748,-0.9722,-8.96963,1.25402,-6.96795,8.66868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-05-10,19:01:03.02,1,3,"Riedel, Caleb",1000120428,Left,UNO_MAV,"Moris, Max",1000132387,Right,THO_M,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.93341,-1.365527,1.198991,2490.648903,131.085671,10:15,5.42525,-1.10325,6.25904,-16.70832,16.75902,-17.94729,2.77326,-1.49314,82.71714,-4.568549,-2.044858,0.416372,,,,,,,,,,,,9.60965,9.41713,1.02245,50,5.31558,-2.01198,-132.08718,-3.60654,16.87658,29.6932,-15.63559,UNO_MAV,THO_M,TalAndersonField,D1,SUM,20240510-TalAndersonField-1,8ec47450-0f29-11ef-841a-43d1c1e51cd7,90.52577,,,8.21627,,,,,,,4ca1cb3e-b1d4-4799-b25b-3637256834e3,2024-05-11,00:01:03.02,2024-05-10T19:01:03.0225472-05:00,2024-05-11T00:01:03.0225472Z,,v3,471375,stthomas,,"Dick, Cardel",1000197604,Right,UNO_MAV,07c1d2b7-b8f5-4793-9422-965e183e119a,54.23867,-133.03662,14.8466,5.42291,-3.10659,-7.8178,1.09541,-2.55161,8.43829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-05-10,19:01:17.05,1,4,"Riedel, Caleb",1000120428,Left,UNO_MAV,"Moris, Max",1000132387,Right,THO_M,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.14879,-0.319624,1.670314,2502.641814,129.349021,10:15,5.43056,-1.2135,6.34031,-17.19729,16.77816,-19.08229,3.70306,-1.26548,81.82103,-3.628404,-1.782764,0.419521,81.09589,35.065692,49.578298,2487.207012,58.23017,64.40862,93.32306,,260.30852,,,10.41985,9.16249,1.10049,50,5.39903,-3.04484,-130.97648,-1.1926,17.96507,29.59491,-16.37686,UNO_MAV,THO_M,TalAndersonField,D1,SUM,20240510-TalAndersonField-1,971caf50-0f29-11ef-841a-43d1c1e51cd7,89.8463,80.07028,,8.32776,,,,,,,4ca1cb3e-b1d4-4799-b25b-3637256834e3,2024-05-11,00:01:17.05,2024-05-10T19:01:17.0544192-05:00,2024-05-11T00:01:17.0544192Z,,v3,471375,stthomas,,"Dick, Cardel",1000197604,Right,UNO_MAV,c592b203-e144-4222-8e7c-3ac14174b52f,54.15823,-131.91271,14.79746,5.42856,-0.67452,-8.18843,1.2058,-3.61316,8.98253,,-0.23814,63.12927,-17.35648,4.47934,-1.20938,0.38631,-0.1228,0.02502,-0.00208,4.30309,68.31619,-17.16506,0.53278,0.45079,-0.35287,0.13872,-0.02665,0.00197,2.45861,74.11344,-0.69219,-0.71571,0.30948,-0.0697,0.00749,0.00054,-0.00016,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
5,2024-05-10,19:01:37.49,1,5,"Riedel, Caleb",1000120428,Left,UNO_MAV,"Moris, Max",1000132387,Right,THO_M,Undefined,1,Top,0,2,2,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.74277,-0.092884,3.04038,2449.212195,130.442455,10:15,5.3043,-1.08082,6.45331,-19.21328,15.10619,-16.32517,3.61774,0.35451,81.09152,-3.784152,0.083874,0.42164,,,,,,,,,,,,9.41646,8.26008,0.87202,50,5.28895,-6.25446,-130.21666,-0.73143,15.99415,30.09103,-18.14409,UNO_MAV,THO_M,TalAndersonField,D1,SUM,20240510-TalAndersonField-1,a351fd70-0f29-11ef-841a-43d1c1e51cd7,89.39482,,,8.65125,,,,,,,4ca1cb3e-b1d4-4799-b25b-3637256834e3,2024-05-11,00:01:37.49,2024-05-10T19:01:37.4904896-05:00,2024-05-11T00:01:37.4904896Z,,v3,471375,stthomas,,"Dick, Cardel",1000197604,Right,UNO_MAV,121f93f7-7b06-4364-ab6d-73bf5d57b977,54.04363,-131.14776,15.04552,5.3029,-0.17001,-9.07204,1.07321,-6.74935,7.99708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-05-10,19:02:14.11,1,6,"Riedel, Caleb",1000120428,Left,UNO_MAV,"Moris, Max",1000132387,Right,THO_M,Undefined,1,Top,0,2,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,88.80769,-0.476106,2.390675,2349.47955,135.24837,10:30,5.38474,-0.98347,6.0965,-18.91001,16.09406,-14.90123,3.36816,-0.0128,81.41227,-4.061537,-0.291822,0.425824,,,,,,,,,,,,8.30063,8.75079,0.80695,50,5.33795,-4.77408,-129.03028,-1.6253,14.05488,25.74925,-17.35691,UNO_MAV,THO_M,TalAndersonField,D1,SUM,20240510-TalAndersonField-1,b9235130-0f29-11ef-841a-43d1c1e51cd7,88.51639,,,7.39543,,,,,,,4ca1cb3e-b1d4-4799-b25b-3637256834e3,2024-05-11,00:02:14.11,2024-05-10T19:02:14.1110000-05:00,2024-05-11T00:02:14.1110000Z,,v3,471375,stthomas,,"Dick, Cardel",1000197604,Right,UNO_MAV,c7ea6543-4ce7-4c87-a514-677403ce9354,54.40233,-129.90584,12.87462,5.38318,-1.03511,-8.67846,0.9774,-5.25199,7.02744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.1595,2.626238,1.637786,0.988452,-1.51615,3.15399,0.03154,-2.01562,5.82909,-5.15987,66.96386,8.12174,-57.81551,-1.9036,74.88647,-5.22308,5.90139,14.92911,-12.79515,-5.39161,-60.90951,7.85834,High,High,High,,,High,Medium,High
7,2024-05-10,19:02:41.57,2,1,"Riedel, Caleb",1000120428,Left,UNO_MAV,"Recchio, Tanner",1000255768,Left,THO_M,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.44685,-0.327595,2.700824,2374.316982,134.20438,10:30,5.37216,-1.00099,6.36868,-18.93781,16.60816,-15.7695,3.49223,0.17191,79.70172,-3.976332,-0.151673,0.429108,,,,,,,,,,,,9.00981,9.10528,0.81237,50,5.33949,-5.41044,-128.30306,-1.23387,14.80882,30.00551,-17.20828,UNO_MAV,THO_M,TalAndersonField,D1,SUM,20240510-TalAndersonField-1,c9864370-0f29-11ef-841a-43d1c1e51cd7,87.83905,,,8.74513,,,,,,,4ca1cb3e-b1d4-4799-b25b-3637256834e3,2024-05-11,00:02:41.57,2024-05-10T19:02:41.5780000-05:00,2024-05-11T00:02:41.5780000Z,,v3,471375,stthomas,,"Dick, Cardel",1000197604,Right,UNO_MAV,87ed69e0-50bb-4ea7-8fb3-aa40375bc39b,54.12732,-129.26469,15.00276,5.3702,-0.68237,-8.60414,0.99337,-5.88503,7.40441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-05-10,19:02:55.10,2,2,"Riedel, Caleb",1000120428,Left,UNO_MAV,"Recchio, Tanner",1000255768,Left,THO_M,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.92865,-0.63711,3.003874,2347.857808,141.971913,10:45,5.37965,-0.94998,6.09777,-18.16147,18.13698,-13.18076,3.27611,0.73241,79.37194,-4.126958,0.633134,0.433626,,,,,,,,,,,,7.68937,9.90438,0.72522,50,5.32095,-6.1396,-127.46913,-1.91123,12.50468,29.03977,-16.0673,UNO_MAV,THO_M,TalAndersonField,D1,SUM,20240510-TalAndersonField-1,d19678f0-0f29-11ef-841a-43d1c1e51cd7,86.92386,,,8.55671,,,,,,,4ca1cb3e-b1d4-4799-b25b-3637256834e3,2024-05-11,00:02:55.10,2024-05-10T19:02:55.1040000-05:00,2024-05-11T00:02:55.1040000Z,,v3,471375,stthomas,,"Dick, Cardel",1000197604,Right,UNO_MAV,9beaccbc-065b-4828-8a1a-ac22e93d9497,54.39822,-128.46722,14.51989,5.37715,-1.359,-8.03365,0.94363,-6.56938,6.25234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-05-10,19:03:08.59,2,3,"Riedel, Caleb",1000120428,Left,UNO_MAV,"Recchio, Tanner",1000255768,Left,THO_M,Undefined,1,Top,1,2,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,87.64813,-1.336445,1.977442,2359.922526,137.822961,10:30,5.32886,-0.90761,6.17177,-18.69879,17.60792,-14.81343,2.53534,-0.31498,79.41684,-4.917352,-0.694493,0.433676,,,,,,,,,,,,8.23036,9.87398,0.76509,50,5.21807,-3.78649,-127.18976,-3.478,13.35262,28.42962,-16.15489,UNO_MAV,THO_M,TalAndersonField,D1,SUM,20240510-TalAndersonField-1,d99e4a00-0f29-11ef-841a-43d1c1e51cd7,86.91391,,,8.23129,,,,,,,4ca1cb3e-b1d4-4799-b25b-3637256834e3,2024-05-11,00:03:08.59,2024-05-10T19:03:08.5930000-05:00,2024-05-11T00:03:08.5930000Z,,v3,471375,stthomas,,"Dick, Cardel",1000197604,Right,UNO_MAV,eb4ab00d-b432-4fcd-b2a7-04554b1f1c6e,54.32505,-128.15286,14.21481,5.32662,-2.93073,-8.07744,0.90102,-4.23883,6.67631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-05-10,19:03:21.44,2,4,"Riedel, Caleb",1000120428,Left,UNO_MAV,"Recchio, Tanner",1000255768,Left,THO_M,Undefined,1,Top,1,2,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.7859,-1.514725,1.819565,2335.078478,138.17183,10:30,5.34227,-1.09946,6.21428,-18.8195,18.31111,-15.19103,2.37508,-0.68562,78.33502,-5.132452,-0.922995,0.438568,41.43262,19.374628,-165.160206,3508.140476,,,,63.75158,48.19553,-169.381347,1.263742,8.41142,10.34386,0.97024,50,5.21923,-3.3861,-125.89424,-3.8256,13.30761,28.95041,-15.80919,UNO_MAV,THO_M,TalAndersonField,D1,SUM,20240510-TalAndersonField-1,e14a3f70-0f29-11ef-841a-43d1c1e51cd7,85.94425,8.16558,,8.45088,,,,0.1265,2.59442,-0.00075,4ca1cb3e-b1d4-4799-b25b-3637256834e3,2024-05-11,00:03:21.44,2024-05-10T19:03:21.4490000-05:00,2024-05-11T00:03:21.4490000Z,GroundBall,v3,471375,stthomas,,"Dick, Cardel",1000197604,Right,UNO_MAV,6d963ccd-c502-445f-8dcc-547c8931ce40,54.28196,-126.87509,14.4752,5.33977,-3.28998,-7.90459,1.0926,-3.83696,6.65381,,0.1265,-55.41436,5.56043,-0.99552,0.1683,-0.02308,0.00579,-0.00135,9E-05,2.59442,20.1593,-18.87242,1.25829,-0.22657,0.03773,-0.00451,0.00078,9E-05,-0.00075,-14.68227,5.63206,-1.41927,0.32417,-0.05974,0.01558,-0.0053,0.0011,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
